"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date","latitude","longitude","unit_count","Units_used","Pred_Unit_Rent","GPR_Monthly","EGI_Monthly","EGI_Annual","Expense_Size_Band","Expense_Size_Multiplier","Est_Expense_per_Unit_Annual","Annual_Expenses_Total","NOI_Monthly","NOI_Annual","Price_Used","Cap_Rate","Cap_Rate_Pct","Vacancy_Assumed","Benchmark_Base_perUnit_Annual","Benchmark_Notes","Baths","year","month_num","quarter_3m","GRM"
NA,22,"IV19148921MR",1795,"INC","S","1226  W 11th ST ","UPLAND",NA,"2.00 (0 0 0 0)",4024,"$248.51",999999,975000,"$0.00","7,768",1964,21,4,2019-08-21,34.1032387,-117.6709231,NA,4,1649.42,6597.68,6267.796,75213.552,"<50",1.18,10030,40120,2924.46266666667,35093.552,975000,0.0359933866666667,3.59933866666667,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,8,3,12.9630894177156
NA,25,"IV19149061MR",1795,"INC","S","1232  W 11th ST ","UPLAND",NA,"2.00 (0 0 0 0)",4024,"$248.51",999999,975000,"$0.00","7,814",1964,21,4,2019-08-21,34.1032373,-117.6710588,NA,4,1649.42,6597.68,6267.796,75213.552,"<50",1.18,10030,40120,2924.46266666667,35093.552,975000,0.0359933866666667,3.59933866666667,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,8,3,12.9630894177156
NA,12,"IV19186458MR",469,"INC","S","11360   Wesley AVE ","POMONA",NA,"2.00 (0 0 0 0)",1766,"$294.39",519900,519900,"","7,200",1964,2,2,2019-09-12,NA,NA,NA,2,1609.03,3218.06,3057.157,36685.884,"<50",1.18,10030,20060,1385.49033333333,16625.884,519900,0.0319790036545489,3.19790036545489,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2019,9,3,14.1716634114637
NA,20,"IV19274077MR",1543,"INC","S","1241  E Nocta ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1768,"$287.05",507500,497500,"$0.00","8,212",1963,43,2,2020-02-21,34.065277,-117.6227191,NA,2,1578.61,3157.22,2999.359,35992.308,"<50",1.18,10030,20060,1327.69233333333,15932.308,497500,0.0320247396984924,3.20247396984924,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2020,2,1,13.8223978301141
NA,10,"IV19274707MR",1543,"INC","S","1247  E Nocta ST ","ONTARIO",NA,"2.00 (0 0 0 0)",1768,"$274.32",484999,475000,"$0.00","8,212",1963,129,2,2020-08-24,34.065277,-117.6227191,NA,2,1664.44,3328.88,3162.436,37949.232,"<50",1.18,10030,20060,1490.76933333333,17889.232,475000,0.0376615410526316,3.76615410526316,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2020,8,3,12.5167223410476
NA,4,"IV19276871MR",1543,"INC","S","755  N Palmetto AVE ","ONTARIO",NA,"3.00 (0 0 0 0)",2652,"$201.73",535000,573000,"$0.00","7,590",1966,6,3,2020-02-07,34.0719969,-117.6687407,NA,3,1588.95,4766.85,4528.5075,54342.09,"<50",1.18,10030,30090,2021.0075,24252.09,573000,0.0423247643979058,4.23247643979057,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2020,2,1,10.5443128889596
NA,2,"IV20001621MR",1543,"INC","S","1221   4th  ","ONTARIO",NA,"8.00 (0 0 0 0)",3552,"$247.75",880000,842000,"","7,200",1962,161,4,2020-09-24,NA,NA,NA,4,1659.53,6638.12,6306.214,75674.568,"<50",1.18,10030,40120,2962.88066666667,35554.568,842000,0.0422263277909739,4.22263277909739,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2020,9,3,11.1265914329369
NA,2,"IV20002349MR",1543,"INC","S","1227   4th  ","ONTARIO",NA,"8.00 (0 0 0 0)",3552,"$247.75",880000,842000,"","7,200",1962,264,4,2020-12-01,NA,NA,NA,4,1694.34,6777.36,6438.492,77261.904,"<50",1.18,10030,40120,3095.15866666667,37141.904,842000,0.0441115249406176,4.41115249406176,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2020,12,4,10.8979970258046
NA,2,"IV20005002MR",1543,"INC","S","1248   J  ","ONTARIO",NA,"8.00 (0 0 0 0)",3552,"$247.75",880000,820000,"","7,378",1962,166,4,2020-07-29,NA,NA,NA,4,1649.43,6597.72,6267.834,75214.008,"<50",1.18,10030,40120,2924.50066666667,35094.008,820000,0.0427975707317073,4.27975707317073,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2020,7,3,10.9022244898849
NA,18,"IV20041210MR",1455,"INC","S","4531   KINGSLEY ST ","MONTCLAIR",NA,"2.00 (0 0 0 0)",1728,"$318.23",549900,530000,"","7,200",1963,150,2,2020-08-13,34.06674,-117.7063045,NA,2,1649.41,3298.82,3133.879,37606.548,"<50",1.18,10030,20060,1462.21233333333,17546.548,530000,0.0331066943396226,3.31066943396226,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2020,8,3,14.0932903493296
